Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Employee Count,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Relevance of education to venture,Relevance of experience to venture,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Number of Recognitions for Founders and Co-founders,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Time to maturity of technology (in years),Renown score
1,2008,6,16,31,0,3/1/2008,4/1/2010,6379489.4,United States,North America,0,1,2,2,3,5,0,0,Medium,1,2,0,0,0,1,Product,0,no,0,Unstructured,0,Platform,0,Non-Linear,0,0,0,0,0,0,0,0,0,0,1,Online,B2B,0,2,1,1,Masters,21,1,1,500,1,1,1,1,2,25,0,2,1,0,0,0,0,0,0,0,0,12999889,1,1,0,3,1,0,1,unknown amount,24,24,2,4
1,2012,2,272,24,0,4/17/2012,6/25/2013,1000000,United States,North America,1,0,2,2,4,15,0,0,Medium,1,0,1,1,0,1,Product,0,Both,1,Unstructured,0,Platform,1,Linear,1,0,0,0,0,0,0,1,0,0,0,Online,B2B,1,2,1,0,Masters,21,1,1,500,1,0,0,0,0,25,1,1,1,0,0,0,0,1,0,0,0,282991,1,1,0,3,2,0,15,1,7,4.7,0,0
1,2012,2,114,31,0,1/1/2011,1/1/2011,6379489.4,United States,North America,0,1,2,0,2,50,0,0,Medium,0,0,1,1,0,1,Service,0,Both,1,Structured,0,Platform,0,Non-Linear,0,0,0,0,0,0,1,1,0,0,0,Offline,B2B,0,2,1,1,Masters,21,1,1,500,1,0,0,0,1,15,1,2,0,0,0,1,0,1,0,0,0,2518862,1,1,0,4,2,0,50,2.5,16,16,0,7
1,2012,2,124,13,0,1/1/2012,8/7/2013,2000000,United States,North America,2,1,2,0,2,14,0,0,High,0,1,0,0,0,1,Product,0,no,1,Structured,1,Platform,0,Non-Linear,0,0,0,0,0,0,0,1,0,0,0,Online,B2B,0,2,0,0,Bachelors,18,1,1,500,1,0,0,0,4,17,2,1,1,0,0,0,0,0,0,0,0,754828,0,0,0,3,1,0,14,2,1,3.3,1,6
1,2009,5,409,22,1,1/1/2009,5/9/2013,3900000,United States,North America,0,0,2,0,2,50,0,2,Medium,1,2,0,0,0,1,Product,0,Both,0,Both,1,Platform,1,Non-Linear,1,0,0,0,0,0,0,0,0,0,0,Online,B2B,1,2,0,1,Bachelors,18,1,1,500,1,1,1,1,0,20,0,0,1,1,0,0,0,1,0,0,0,28597,0,0,0,3,1,0,12.5,3.9,14,12.7,1,4
1,2012,2,51,31,1,1/1/2012,7/10/2013,4100000,United States,North America,10,0,2,1,4,18,0,0,Low,0,0,1,1,0,1,Service,0,Both,0,Structured,0,Platform,1,Linear,0,0,0,0,0,0,0,1,0,0,0,Online,B2B,0,2,1,0,Masters,21,1,1,500,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,761094,0,0,0,3,1,0,18,4.1,10,4,1,0
1,2012,2,388,17,0,11/1/2012,7/3/2013,750000,India,Asia,0,1,2,1,2,18,0,0,Low,0,2,0,0,0,1,Service,0,no,0,Structured,0,Platform,0,Non-Linear,0,0,0,0,0,0,0,0,0,0,1,Online,B2C,0,1,1,1,Bachelors,18,1,1,500,1,1,1,1,1,20,0,1,1,1,0,1,0,0,0,0,0,17535,0,0,0,3,2,0,18,0.75,10,10,1,1
1,2012,2,315,3,0,11/1/2012,3/1/2013,6379489.4,India,Asia,1,0,2,0,2,4,0,0,High,0,0,1,1,0,1,Product,0,no,0,No,1,Platform,1,Linear,0,0,0,0,0,0,0,0,0,0,1,Online,B2C,0,1,1,1,Bachelors,18,1,1,500,1,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,204716,0,0,0,3,1,0,4,unknown amount,4,4,1,4
1,2012,2,114,31,0,1/1/2011,1/1/2011,6379489.4,United States,North America,1,0,2,0,2,17,0,0,Low,0,2,1,0,0,1,Product,0,no,0,No,0,Platform,0,Linear,1,0,0,0,0,0,0,0,0,0,1,Online,B2C,0,1,0,0,Bachelors,18,1,1,500,1,0,0,0,5,6,0,0,1,1,0,0,0,0,0,0,0,2518862,0,0,0,3,1,2,17,unknown amount,1,1,1,1
1,2007,7,114,31,1,1/1/2011,1/1/2011,6379489.4,United States,North America,0,0,2,0,1,488,0,0,Low,0,0,1,1,0,1,Service,1,no,0,Structured,0,Platform,1,Linear,1,0,0,0,0,0,0,0,0,0,0,Online,B2B,0,2,0,1,Bachelors,18,1,1,500,1,0,0,0,0,25,2,0,1,0,1,1,0,1,0,0,0,2518862,0,1,0,3,1,0,81.3,15,75,75,2,4
1,2009,5,157,43,1,1/1/2009,6/7/2013,6379489.4,United States,North America,0,0,4,1,5,39,0,0,Low,0,0,1,1,0,1,Service,1,no,0,Unstructured,1,Platform,1,Non-Linear,0,0,0,0,0,0,0,0,0,0,1,Online,B2B,0,2,1,1,Bachelors,18,1,1,500,1,0,0,0,0,25,1,0,0,0,0,1,0,1,1,0,1,346300,0,0,0,3,2,0,9.8,unknown amount,36,9.5,2,8
1,2012,2,133,31,0,1/1/2012,8/26/2013,6379489.4,India,Asia,0,4,2,0,2,5,0,0,Low,0,1,1,1,0,1,Service,0,no,1,Structured,1,Platform,0,Non-Linear,0,0,0,0,0,0,0,0,0,0,0,Online,B2B,0,1,0,1,Masters,21,1,1,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873143,0,0,0,3,1,0,5,unknown amount,20,20,1,1
1,2013,1,408,31,0,1/31/2013,3/1/2014,62000,Azerbaijan,Europe,1,0,2,0,2,6,0,0,Low,0,0,1,1,0,1,Product,1,no,0,Structured,1,Platform,1,Non-Linear,0,0,0,0,0,0,0,0,0,0,0,Online,B2B,0,1,0,0,Bachelors,18,1,1,500,1,0,0,0,2,25,0,1,1,0,0,0,0,0,0,0,0,63274,0,0,0,3,1,0,6,0.062,2,6,1,4
1,2011,3,239,31,0,4/14/2011,12/13/2013,10000,Azerbaijan,Europe,2,0,4,0,4,4,0,0,Low,0,0,1,1,0,1,Product,0,Both,1,Unstructured,1,Platform,1,Non-Linear,0,0,0,0,1,0,0,1,0,0,1,Online,B2B,0,2,0,0,Bachelors,18,0,1,428,1,0,0,0,0,25,0,1,1,0,0,0,0,0,0,0,0,1275090,0,1,0,3,1,0,2,0.01,32,32,0,0
1,2009,5,43,6,0,10/15/2009,10/15/2009,425000,Belgium,Europe,0,6,3,0,5,10,0,0,Medium,0,0,1,1,0,1,Service,1,no,1,Unstructured,1,Platform,1,Non-Linear,0,0,0,0,1,0,0,1,0,0,0,Online,B2C,0,2,0,1,Masters,21,1,1,500,1,0,0,0,0,18,0,1,1,0,0,0,0,0,1,0,0,1766890,0,0,0,3,1,2,2.5,0.425,1,1,1,2
1,2011,3,8,31,0,4/1/2011,8/1/2011,125000,Belgium,Europe,1,0,0,0,3,6,0,0,High,0,1,0,0,0,1,Product,0,Both,1,Structured,0,Platform,1,Non-Linear,0,0,0,0,1,0,0,1,0,0,0,Online,B2B,0,2,0,0,Masters,21,0,0,223,1,0,0,0,4,25,1,1,1,0,0,1,0,0,0,0,0,2518862,0,0,0,3,1,0,3,0.125,4,4,1,0
1,2012,2,217,2,0,8/1/2012,9/1/2013,30000,Bulgaria,Europe,0,1,3,0,3,3,0,0,Medium,0,2,0,0,0,1,Product,1,Both,1,Structured,0,Platform,1,Non-Linear,0,0,0,0,1,0,0,1,0,0,0,Online,B2B,0,1,1,1,Masters,21,0,1,500,1,1,1,1,1,25,0,2,0,0,1,1,0,0,0,0,0,2278656,0,1,0,4,2,0,3,0.03,12,12,1,3
1,2010,4,64,31,0,1/1/2010,8/1/2013,25000,Bulgaria,Europe,2,0,2,0,3,4,0,0,Low,0,2,0,0,0,1,Product,0,no,0,Unstructured,0,Platform,1,Non-Linear,0,0,0,0,0,0,0,0,0,0,0,Online,B2B,0,1,0,0,Masters,21,0,0,475,1,0,0,0,0,18,0,1,0,0,0,1,0,0,0,0,0,1505714,0,0,1,4,2,0,1.3,0.025,36,2.2,1,0
1,2013,1,181,9,0,3/18/2013,8/30/2013,135000,Bulgaria,Europe,2,0,2,0,3,10,0,0,Low,0,0,1,1,0,1,Service,0,Both,0,Structured,0,Platform,0,Non-Linear,0,0,0,0,1,0,1,1,0,0,0,Offline,B2B,0,2,1,1,Masters,21,1,1,500,1,0,0,0,0,25,2,2,0,0,0,1,0,0,1,0,0,1668553,0,0,0,4,2,4,10,0.135,5,5,0,1
1,2012,2,34,7,0,6/1/2012,8/9/2012,110000,Czech Republic,Europe,0,1,2,0,5,5,0,0,Low,0,0,1,1,0,1,Product,0,no,1,Unstructured,1,Platform,0,Non-Linear,0,0,0,0,0,0,0,0,0,0,1,Online,B2C,0,1,0,0,Masters,21,0,1,500,1,0,0,0,1,19,1,0,1,0,1,0,0,0,0,0,0,4095647,1,0,0,4,2,0,5,0.11,2,2,1,4
1,2012,2,14,13,1,10/1/2012,5/1/2013,6379489.4,Germany,Europe,2,0,2,0,2,50,0,1,Medium,0,2,1,1,0,1,Service,1,Public,0,Both,0,Both,0,Non-Linear,1,0,0,0,0,1,1,1,0,0,1,Online,B2B,0,1,1,0,Bachelors,18,0,0,500,0,0,0,0,0,18,0,0,1,1,2,1,0,1,0,0,0,1652983,1,0,0,3,0,3,50,unknown amount,7,7,1,2
1,2012,2,398,11,0,7/17/2012,1/1/2011,6379489.4,Spain,Europe,0,0,4,0,3,10,0,0,Medium,0,2,0,0,0,1,Service,0,Public,1,Structured,0,Both,1,Non-Linear,0,1,0,1,1,0,0,1,0,0,0,Online,B2C,0,1,1,0,Masters,21,1,1,500,0,0,0,1,186,14,0,0,1,0,0,1,0,0,0,0,1,235406,1,0,0,3,1,4,10,unknown amount,1,1,1,4
1,2010,4,372,41,0,5/1/2010,5/3/2011,1300000,France,Europe,3,0,3,0,3,50,0,0,High,0,1,1,1,0,0,Service,1,Public,1,Unstructured,1,Platform,1,Linear,0,0,1,1,0,0,0,0,0,0,0,Online,B2B,0,1,1,0,PhD,25,1,1,457,2,1,0,0,6,19,2,1,1,1,0,1,0,0,1,0,0,163353,1,0,0,3,2,0,12.5,1.3,12,12,1,7
1,2010,4,8,31,0,6/1/2010,1/1/2011,6379489.4,France,Europe,0,0,3,1,2,69,0,0,Low,0,2,0,0,0,1,Product,1,Both,0,Both,1,Platform,1,Linear,0,0,0,1,1,0,0,1,0,0,0,Online,B2B,0,2,1,2,PhD,25,1,1,156,0,1,1,1,0,6,2,1,1,0,0,0,0,1,0,0,0,5620837,1,1,0,3,2,0,18.4,unknown amount,1,1,1,2
1,2010,4,263,18,1,1/1/2010,11/12/2013,1900000,France,Europe,2,0,2,0,3,50,0,0,Low,0,2,1,1,1,1,Service,1,Public,0,Both,1,Both,1,Non-Linear,0,0,0,1,1,0,0,0,1,0,0,Online,B2B,0,2,1,1,PhD,25,1,1,500,1,0,0,0,441,5,0,1,0,0,0,1,0,1,0,0,0,962657,1,0,0,4,1,33,16.6,1.9,45,45,1,1
1,2012,2,1,31,1,1/1/2011,1/1/2011,6379489.4,United Kingdom,Europe,0,0,2,0,7,10,0,0,Low,0,0,1,1,0,1,Product,0,Private,0,Structured,1,Both,1,Linear,0,0,0,1,1,0,0,1,0,0,0,Online,B2C,0,2,1,0,Bachelors,18,1,1,500,2,1,1,0,105,10,0,1,0,0,0,0,0,1,0,0,0,6222945,1,1,0,4,2,20,10,unknown amount,1,5,1,6
1,2011,3,42,11,0,1/1/2011,6/3/2010,800000,United Kingdom,Europe,0,1,5,2,5,50,0,0,Low,0,0,0,0,0,0,Service,1,Public,0,Both,0,Both,1,Linear,0,0,1,1,1,0,0,1,0,0,0,Online,B2B,0,2,1,1,Masters,21,1,1,500,1,1,0,0,400,44,2,2,0,1,1,0,0,0,0,0,0,2281937,0,0,0,4,2,25,25,0.8,1,1,0,3
1,2011,3,138,14,1,7/18/2011,2/19/2014,1000000,United Kingdom,Europe,2,0,2,0,2,50,0,0,High,0,0,1,1,1,0,Service,1,Public,0,Unstructured,1,Both,1,Linear,0,0,0,1,1,1,0,1,1,0,0,Online,B2B,0,1,1,0,Bachelors,18,1,0,500,0,1,1,0,3,27,1,0,0,1,0,0,0,1,0,0,0,346554,1,1,0,2,0,0,25,1,35,35,1,6
1,2011,3,401,18,1,1/1/2011,6/6/2013,1800000,United Kingdom,Europe,2,3,4,0,2,10,0,0,Medium,0,0,0,0,1,1,Service,1,Public,0,Unstructured,1,Both,1,Non-Linear,0,0,0,1,1,0,0,0,0,0,0,Online,B2B,1,2,1,0,Masters,21,1,0,500,0,1,1,1,4,24,1,1,1,0,1,0,0,0,0,0,0,7917,0,1,0,2,2,2,5,1.8,20,3.3,1,0
1,2011,3,77,31,0,11/11/2011,9/18/2012,50000,United Kingdom,Europe,1,0,2,0,1,69,0,0,High,0,2,1,0,0,0,Service,1,Public,0,Unstructured,1,Both,0,Non-Linear,1,0,0,1,1,0,0,0,0,1,1,Online,B2C,0,2,1,0,Masters,21,0,0,500,1,0,1,0,102,9,2,0,1,0,0,0,0,0,0,1,0,4996181,1,1,0,1,0,12,18.4,0.05,12,12,1,2
1,2010,4,103,6,0,11/1/2010,4/1/2011,50000,United Kingdom,Europe,2,0,3,1,3,50,0,0,Medium,0,0,1,1,0,0,Service,0,Public,0,Structured,1,Both,0,Non-Linear,0,0,0,1,1,1,0,0,0,0,0,Online,B2B,0,2,1,1,Masters,21,1,1,416,2,1,1,1,184,30,2,0,1,0,0,1,0,0,0,0,0,312361,0,1,0,2,1,2,25,0.05,1,7.6,1,5
1,2009,5,2,20,0,7/7/2009,3/19/2012,3000000,United Kingdom,Europe,0,0,2,3,5,50,0,0,Medium,0,1,1,1,0,1,Service,1,Public,0,Structured,1,Both,0,Linear,0,0,0,0,0,0,1,1,0,0,0,Online,B2B,0,2,0,1,PhD,25,1,1,500,1,0,0,0,5,37,0,1,0,0,0,0,0,1,0,0,0,44436,1,0,0,3,1,0,12.5,3,1,16.5,1,7
1,2011,3,261,31,0,1/1/2011,4/1/2013,200000,United Kingdom,Europe,6,0,2,0,2,10,0,1,Low,0,0,1,0,0,0,Service,1,Public,0,Both,1,Both,0,Non-Linear,0,0,0,1,1,1,0,0,0,0,0,Online,B2C,0,2,0,1,Masters,21,1,1,500,1,0,0,0,6,49,0,2,0,0,0,0,0,0,0,0,0,1447733,0,1,0,2,0,0,5,0.2,1,6.2,1,2
1,2013,1,763,10,1,2/1/2013,3/25/2014,1500000,United Kingdom,Europe,9,0,2,0,4,50,0,0,High,0,0,1,0,0,1,Service,0,Public,0,Both,1,Both,1,Linear,0,0,0,1,0,1,0,0,1,0,0,Online,B2B,0,2,0,2,Masters,21,1,1,500,1,0,0,0,0,37,0,2,0,0,0,1,0,1,0,0,0,163851,1,1,1,1,1,0,50,1.5,1,7,2,3
1,2010,4,13,6,0,3/1/2010,3/1/2010,1700000,United States,North America,0,0,0,0,6,10,0,0,Low,1,0,1,1,0,0,Service,1,Both,1,Structured,0,Both,1,Non-Linear,0,0,0,0,0,0,0,1,1,0,0,Online,B2C,0,2,1,1,Masters,21,0,0,500,1,0,0,0,180,10,0,1,0,1,1,1,1,0,1,0,0,7355795,1,1,1,3,1,6,3.3,1.7,3,1,1,1
1,2011,3,293,28,1,1/1/2011,2/10/2014,1300000,United States,North America,0,0,0,0,12,50,0,0,Medium,0,2,1,1,0,0,Product,0,Both,1,Structured,0,Platform,1,Linear,0,0,0,1,0,0,1,1,1,0,0,Offline,B2B,0,1,0,1,PhD,25,1,1,500,2,0,1,0,0,0,2,1,0,0,1,0,1,0,0,1,1,2518862,1,0,0,2,0,7,25,1.3,18,9,1,3
1,2010,4,126,25,1,7/7/2010,3/1/2014,1100000,United States,North America,0,4,3,2,8,28,0,0,Medium,0,0,1,1,0,0,Service,0,no,0,No,0,Cloud,0,Non-Linear,0,0,0,0,0,0,0,0,0,0,1,Offline,B2B,0,2,1,1,Masters,21,0,1,500,1,0,1,0,1,19,1,1,0,0,0,1,0,0,1,0,0,46550,0,1,0,3,0,0,9.3,1.1,45,45,1,3
1,2007,7,9,31,1,1/1/2011,1/1/2011,6379489.4,Canada,North America,0,2,2,2,12,88,0,0,Low,1,2,1,1,1,1,Service,0,Both,1,Unstructured,1,Platform,1,Linear,0,0,0,0,0,0,0,0,0,0,0,Offline,B2B,0,0,0,1,Bachelors,18,1,1,500,2,1,1,0,2,25,0,0,0,0,0,0,0,0,0,0,0,2518862,0,1,0,3,0,0,14.6,unknown amount,70,70,2,0
1,2002,12,123,31,0,1/1/2002,9/7/2011,7500000,United States,North America,0,2,0,0,2,50,0,0,Medium,0,2,1,1,1,1,Service,1,Both,1,Structured,0,Platform,0,Non-Linear,0,0,0,0,1,0,0,1,0,0,0,Offline,B2B,0,2,0,1,Masters,21,1,1,500,2,1,0,0,1,24,2,1,1,0,0,0,1,0,0,0,0,2584435,1,1,0,3,0,0,4.5,7.5,65,15.5,1,4
1,2011,3,53,8,0,7/1/2011,5/1/2013,50000,India,Asia,3,0,2,0,3,8,0,0,Medium,0,1,0,0,0,1,Product,0,no,0,Structured,0,Platform,1,Non-Linear,1,0,0,0,0,0,0,0,0,0,1,Offline,B2B,0,0,1,1,Masters,21,1,1,500,1,0,0,0,0,14,1,1,0,0,0,0,0,0,1,0,0,516830,1,1,1,2,0,0,4,0.05,8,5,1,3
1,2012,2,504,31,0,1/1/2011,1/1/2011,6379489.4,United States,North America,2,0,3,1,3,4,0,0,Medium,0,0,0,0,0,0,Service,0,Both,1,Unstructured,0,Platform,1,Non-Linear,0,0,0,0,0,0,0,1,0,0,1,Online,B2B,0,0,0,0,Bachelors,18,1,1,500,0,0,0,0,0,13,1,0,1,0,0,0,0,0,0,0,0,314409,0,0,0,2,0,0,4,0.5,12,12,1,0
1,2012,2,661,31,1,1/1/2011,1/1/2011,6379489.4,United States,North America,1,0,4,0,4,315,0,0,Medium,0,0,1,0,0,0,Service,0,Both,1,Unstructured,0,Platform,0,Linear,0,0,0,0,1,0,0,0,0,0,1,Online,B2C,0,1,0,0,Bachelors,18,1,1,400,0,0,0,0,1,18,2,0,0,1,0,1,1,1,0,0,0,7665,0,1,0,3,0,0,315,2.5,12,12,1,0
1,2012,2,114,31,0,1/1/2011,1/1/2011,6379489.4,United States,North America,1,0,2,0,2,69,0,0,Low,0,0,1,1,0,1,Product,0,Both,0,Structured,0,Platform,0,Non-Linear,0,0,0,0,0,0,0,0,0,0,0,Online,B2C,0,2,0,1,Masters,21,1,1,500,2,0,0,0,7,21,0,0,1,1,2,0,0,0,0,0,0,2518862,0,1,0,2,0,0,18.4,0.55,24,24,1,4
1,2012,2,220,6,0,1/1/2012,5/14/2013,6379489.4,India,Asia,3,0,2,0,4,6,0,0,Medium,0,1,1,1,0,1,Product,0,Both,1,Structured,0,Platform,0,Non-Linear,0,0,0,0,0,0,0,0,0,0,1,Online,B2C,0,1,1,1,Masters,21,1,1,500,2,0,0,1,0,19,2,0,0,1,0,1,0,1,1,0,0,19728,1,1,1,3,0,0,6,unknown amount,17,17,1,2
1,2012,2,114,31,0,1/1/2011,1/1/2011,6379489.4,United States,North America,4,3,2,0,4,11,0,2,Medium,0,1,0,0,1,1,Product,0,no,0,No,1,Platform,0,Linear,1,0,0,0,0,0,0,0,0,0,1,Online,B2C,0,2,1,1,Masters,21,1,1,500,1,1,0,0,0,19,1,0,1,1,2,1,0,1,0,0,0,2518862,0,1,0,4,2,1,11,1,16,3.1,1,0
1,2012,2,2,6,0,6/1/2012,6/15/2012,125000,Belgium,Europe,0,1,3,0,3,5,0,0,Medium,0,0,1,1,0,1,Product,1,Both,1,Unstructured,0,Platform,1,Non-Linear,0,0,0,0,1,0,0,1,0,0,1,Online,B2C,0,0,0,1,Bachelors,20,0,0,223,0,0,0,0,0,25,1,1,1,0,0,0,0,0,0,0,0,1983752,1,1,0,3,1,0,5,0.125,1,1,1,0
1,2010,4,34,16,0,1/1/2010,11/7/2013,5000000,Switzerland,Europe,0,1,2,0,4,50,0,0,Medium,0,0,1,1,0,0,Product,0,Both,0,Both,0,Platform,1,Linear,1,0,0,1,1,0,1,1,0,0,0,Online,B2B,0,2,0,1,Bachelors,18,1,1,500,1,0,0,0,0,17,1,2,0,0,1,0,0,1,1,0,0,10080538,1,1,0,4,2,0,16.6,5,47,47,1,0
1,2009,5,26,31,0,9/17/2009,9/1/2009,50000,United Kingdom,Europe,1,0,1,0,1,50,0,0,Low,0,1,1,1,0,0,Service,1,Both,1,Structured,1,Platform,1,Non-Linear,0,0,0,0,0,0,0,1,0,0,0,Offline,B2B,0,0,1,1,Masters,21,1,1,500,2,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2518862,1,1,0,3,1,3,12.5,0.05,1,1,1,1
1,2009,5,265,13,0,11/5/2009,9/8/2012,500000,United Kingdom,Europe,2,1,0,1,7,10,0,0,High,0,1,1,1,0,0,Service,1,Both,1,Structured,1,Cloud,0,Non-Linear,0,0,0,0,0,0,1,0,1,0,0,Online,B2B,0,2,1,1,Masters,21,0,0,500,0,0,0,0,196,16,0,1,0,0,0,0,0,0,0,1,0,302399,0,0,0,2,0,15,2.5,0.5,4,10.2,1,5
1,2012,2,2,31,0,4/20/2012,9/1/2012,50000,United Kingdom,Europe,3,0,1,0,2,10,0,0,Low,0,0,1,0,0,0,Service,1,no,0,No,1,Cloud,0,Linear,0,0,0,0,0,0,0,0,1,0,0,Online,B2B,0,1,0,1,Bachelors,18,0,1,175,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,117309,1,0,0,3,1,5,10,0.05,6,6,1,0
1,2008,6,98,12,0,1/1/2008,4/5/2013,100000,United States,North America,3,0,3,2,5,20,0,1,Medium,0,0,1,1,0,0,Service,1,Private,1,Structured,0,Cloud,1,Non-Linear,0,0,0,0,0,0,0,0,0,1,0,Online,B2B,0,1,1,1,Bachelors,18,1,1,500,2,0,0,0,5,48,2,1,1,0,0,0,1,0,0,0,0,915558,0,1,0,3,1,0,3,0.1,40,2.6,1,3
1,2011,3,338,12,0,1/1/2011,12/19/2013,175000,United States,North America,22,0,2,0,2,10,1,2,Low,1,2,1,1,0,1,Service,1,Private,0,Both,0,Cloud,1,Linear,0,0,0,0,1,0,1,0,1,0,0,Online,B2B,0,2,1,2,Masters,21,1,1,500,2,1,0,0,3,19,1,1,0,0,0,0,0,1,0,0,0,431282,1,0,1,2,0,0,3.3,0.175,6,6.5,1,4
1,2010,4,46,31,0,1/1/2011,1/1/2011,6379489.4,United States,North America,1,0,1,0,3,10,0,0,Medium,0,0,1,1,0,0,Product,0,Public,1,Structured,1,Cloud,1,Non-Linear,0,0,0,0,0,0,0,1,0,0,0,Online,B2B,0,2,1,2,Masters,21,1,1,469,2,0,0,0,21,25,1,2,1,0,0,0,1,0,0,0,0,1370603,1,1,0,5,2,0,2,0.81,12,1.2,1,7
1,2010,4,16,4,0,4/1/2010,7/16/2010,6379489.4,United States,North America,1,0,0,0,3,10,0,0,Low,0,0,1,0,0,1,Service,0,Public,1,Both,0,Cloud,0,Non-Linear,0,0,0,0,0,0,0,1,0,0,0,Online,B2B,0,2,1,1,Masters,21,1,1,500,2,0,0,0,1,22,0,1,0,0,0,0,0,1,0,0,0,12799600,1,1,0,3,1,0,12,unknown amount,2,2,1,0
1,2010,4,361,8,0,8/1/2010,11/17/2010,500000,United States,North America,3,0,2,1,5,10,0,0,Low,0,1,0,0,0,0,Both,1,Private,1,Structured,0,Platform,0,Non-Linear,0,0,0,0,1,0,0,0,1,0,0,Online,B2B,0,1,1,1,Bachelors,18,1,1,500,2,0,0,0,0,13,1,1,1,0,0,0,1,1,0,0,0,91162,0,1,0,3,1,5,2,0.5,4,4,1,0
1,2012,2,98,17,0,2/1/2012,10/17/2012,6379489.4,United States,North America,5,0,3,4,4,14,0,0,Low,0,2,1,1,0,0,Both,0,Public,0,Both,0,Cloud,1,Non-Linear,0,0,0,0,0,0,0,1,0,0,0,Online,B2B,0,2,1,2,Masters,21,1,1,500,2,0,0,0,28,57.5,2,1,1,0,0,1,1,1,0,0,0,1752170,1,1,0,4,2,0,7,unknown amount,6,6,1,6
1,2010,4,114,31,0,1/1/2011,1/1/2011,6379489.4,United States,North America,4,0,0,0,3,15,0,0,Medium,0,0,1,1,0,0,Product,1,Both,1,Both,0,Platform,0,Non-Linear,0,0,0,1,1,0,0,1,1,1,0,Online,B2B,0,2,1,1,Masters,21,1,1,469,0,0,0,0,0,23.5,1,1,1,0,0,1,1,1,0,0,0,544030,1,0,0,3,1,0,3,1,12,12,1,0
1,2012,2,161,21,0,1/1/2012,11/19/2012,1100000,United States,North America,8,0,0,0,4,50,0,0,Low,1,2,0,0,0,1,Product,1,Public,1,Both,0,Platform,0,Non-Linear,0,1,0,0,1,0,0,1,0,1,0,Online,B2B,1,1,1,2,Masters,21,1,1,500,2,0,0,1,2,25,1,1,1,0,0,0,0,1,0,0,0,6864799,1,1,0,3,1,0,12,1.1,10,10,2,4
1,2009,5,230,8,0,1/1/2009,12/20/2012,650000,United States,North America,6,0,1,2,4,11,0,0,Low,1,2,0,0,0,0,Both,1,Public,1,Both,0,Platform,1,Non-Linear,1,0,0,0,1,0,0,1,0,1,0,Both,B2B,1,1,1,0,Bachelors,18,1,1,500,0,0,1,0,1,16.5,1,1,1,0,1,0,0,1,0,0,0,64262,1,1,1,3,1,0,2.8,0.65,1,12,2,2
1,2013,1,114,31,0,1/1/2011,1/1/2011,6379489.4,United States,North America,1,0,0,0,3,10,0,0,Low,1,2,1,1,0,1,Product,1,Public,1,Both,1,Platform,1,Non-Linear,0,1,0,0,0,0,0,1,0,0,0,Online,B2B,0,1,1,0,Bachelors,18,0,1,469,2,0,0,0,0,6.5,1,1,1,0,0,0,1,0,0,0,1,1058457,1,0,0,0,0,0,19,0.375,5,6,2,0
