Company_Name,Company-Status,year of founding,Age of company in years,Internet Activity Score,Short-Description,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of top angel or venture fund,Number of repeat investors,Number of Sales Support material,Worked in top companies,Ave size of companies worked,Part of startups in the past,Part of successful startups in the past,Partner in Big 5 consulting,Consulting experience?,Product or service company?,Catering to product/service,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,Capital intensive business,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics,Owns monetization of data,Company an aggregator/market place,Online or offline venture,B2C or B2B venture?,Top forums for company/Model,Ave Years of experience for founder/co-founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Number of Recognitions for founders/co-founders,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Long term relationship with other founders,Proprietary or patent position,Barriers of entry for the competitors,Company awards,Controversial history of founder/co-founder,Legal risk and intellectual property,google page rank of company website,Technical proficiencies to analyse,Solutions offered,Global incubation competitions,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),Survival through recession,Time to 1st investment (in months),Avg time to investment,Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
Company85,Success,2011.0,3.0,401.0,Advanced Twitter Management,Analytics|Marketing,CUSTOMER SERVICE,Stephen Bullock|Chris Underhill|Scottish Equity Partners|Seedcamp|Innovation Warehouse,18.0,6.0,YES,1/1/2011,6/6/2013,1800000.0,United Kingdom,Europe,2.0,3.0,4,0,2,10.0,No,0.0,medium,No,Small,No,No,Yes,Yes,Service,Yes,Public,No,Unstructured,Yes,Both,Global,Non-Linear,No,No,No,Yes,Yes,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21.0,MGMT,Yes,No,500.0,Low,1.0,1.0,1.0,4.0,24.0,Medium,Medium,Yes,No,Medium,No,No,No,No,No,No,7917.0,No,Yes,No,2.0,High,2.0,5.0,1.8,Not Applicable,20.0,3.3,Peak,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Company86,Success,2011.0,3.0,77.0,The Twitter of food.,Analytics|Food & Beverages|Social Networking|Mobile,MARKETING,Wayra,14.5,0.0,No,11/11/2011,9/18/2012,50000.0,United Kingdom,Europe,1.0,0.0,2,0,1,26.0,No,0.0,high,No,Large,Yes,No,No,No,Service,Yes,Public,No,Unstructured,Yes,Both,Local,Non-Linear,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Online,B2C,Low,High,Yes,Low,Masters,21.0,ECONOMICS,No,No,500.0,Medium,0.0,1.0,0.0,102.0,9.0,High,Low,Yes,No,Low,No,No,No,No,Yes,No,4996181.0,Yes,Yes,No,1.0,Low,12.0,8.8,0.0,Not Applicable,12.0,12.0,Peak,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Company87,Success,2010.0,4.0,103.0,mobile sales analytics,E-Commerce|Analytics|Advertising|Mobile,APP REVENUE,Seedcamp,6.0,0.0,No,11/1/2010,4/1/2011,50000.0,United Kingdom,Europe,2.0,0.0,3,1,3,50.0,No,0.0,medium,No,Small,Yes,Yes,No,No,Service,No,Public,No,Structured,Yes,Both,Local,Non-Linear,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21.0,"Engineering, management",Yes,Yes,416.0,High,1.0,1.0,1.0,184.0,30.0,High,Low,Yes,No,Low,Yes,No,No,No,No,No,312361.0,No,Yes,No,2.0,Medium,2.0,25.0,0.0,Not Applicable,1.0,7.6,Peak,2 to 5,7.7,3.8,46.6,0.0,7.7,7.7,2.8,6.6,3.8,13.2,0.0,0.0,0.0,0.0,5.0
Company88,Success,2009.0,5.0,2.0,Social Influence/Authority platform,Media|Advertising|Analytics|Marketing,OPERATIONS,Stefan Glaenzer|Sherry Coutu|Ab Banerjee|Shamil Chandaria|Anish Chandaria|Bill Emmott|Ditlev Schwanenflugel|Ken Olisa|Azeem Azhar|Anthemis Group|Meridian Venture Partners|Tom Glocer|Sanford Dickert,20.0,5.0,No,7/7/2009,3/19/2012,3000000.0,United Kingdom,Europe,0.0,0.0,2,3,5,50.0,No,0.0,medium,No,Medium,Yes,Yes,No,Yes,Service,Yes,Public,No,Structured,Yes,Both,Local,Linear,No,No,No,No,No,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Medium,PhD,25.0,artificial intelligence and advanced technloges,Yes,Yes,500.0,Medium,0.0,0.0,0.0,5.0,37.0,Low,Medium,No,No,Low,No,No,Yes,No,No,No,44436.0,Yes,No,No,3.0,Medium,0.0,12.5,3.0,Not Applicable,1.0,16.5,Trough,2 to 5,10.5,0.0,10.5,31.6,0.0,5.3,15.8,5.3,5.3,10.5,0.0,0.0,0.0,5.3,7.0
Company89,Success,2011.0,3.0,261.0,"technology research, AI, data mining",Analytics,intellectual property analysis and visualisation,IP Group Plc|Northstar Ventures|Arvi Tavast,14.5,0.0,No,1/1/2011,4/1/2013,200000.0,United Kingdom,Europe,6.0,0.0,2,0,2,10.0,No,1.0,low,No,Small,Yes,No,No,No,Service,Yes,Public,No,Both,Yes,Both,Local,Non-Linear,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Online,B2C,Low,High,No,Medium,Masters,21.0,computer science,Yes,Yes,500.0,Medium,0.0,0.0,0.0,6.0,49.0,Low,High,No,No,Low,No,No,No,No,No,No,1447733.0,No,Yes,No,2.0,Low,0.0,5.0,0.2,Not Applicable,1.0,6.2,Peak,2 to 5,5.6,0.0,0.0,8.3,2.8,2.8,19.4,0.0,0.0,2.8,2.8,2.8,0.0,2.8,2.0
Company90,Success,2013.0,1.0,763.0,Data. Action. Profit.,E-Commerce|Retail|Analytics,retail,Alastair Mitchell|Andy McLoughlin|Tim Jackson|Phil Wilkinson|Guy Westlake|Sean Cornwell|Ned Cranborne|Shan Drummond|Innova Kapital,10.0,11.0,YES,2/1/2013,3/25/2014,1500000.0,United Kingdom,Europe,9.0,0.0,2,0,4,50.0,No,0.0,high,No,Small,Yes,No,No,Yes,Service,No,Public,No,Both,Yes,Both,Global,Linear,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Online,B2B,Low,High,No,High,Masters,21.0,maths,Yes,Yes,500.0,Medium,0.0,0.0,0.0,0.0,37.0,Low,High,No,No,Low,Yes,No,Yes,No,No,No,163851.0,Yes,Yes,Yes,1.0,Medium,0.0,50.0,1.5,Not Applicable,1.0,7.0,Peak,5 to 10,16.7,4.2,6.9,5.6,2.8,8.3,12.5,0.0,0.0,25.0,0.0,0.0,11.1,6.9,3.0
Company91,Success,2010.0,4.0,13.0,Enterprise social network,Social Networking,data visualization,Cantabria Capital,6.0,0.0,No,3/1/2010,3/1/2010,1700000.0,United States,North America,0.0,0.0,0,0,6,10.0,No,0.0,low,Yes,Small,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,No,Both,Global,Non-Linear,No,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2C,Low,High,Yes,Medium,Masters,21.0,INDUSTRI,No,No,500.0,Medium,0.0,0.0,0.0,180.0,10.0,Low,Medium,No,Yes,Medium,Yes,Yes,No,Yes,No,No,7355795.0,Yes,Yes,Yes,3.0,Medium,6.0,3.3,1.7,Not Applicable,3.0,1.0,Trigger,2 to 5,21.4,0.0,7.1,14.3,0.0,7.1,28.6,0.0,0.0,7.1,0.0,0.0,0.0,14.3,1.0
Company92,Success,2011.0,3.0,293.0,Healthcare transformation.,Healthcare,analytics,RPM Ventures|Arboretum Ventures|Wolverine Venture Fund|Renaissance Venture Capital Fund|Detroit Innovate,28.0,4.0,YES,1/1/2011,2/10/2014,1300000.0,United States,North America,0.0,0.0,0,0,12,50.0,No,0.0,medium,No,Large,Yes,Yes,No,No,Product,No,Both,Yes,Structured,No,Platform,Global,Linear,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Offline,B2B,Low,Medium,No,Medium,PhD,25.0,Medicine,Yes,Yes,500.0,High,0.0,1.0,0.0,0.0,0.0,High,Medium,No,No,Medium,No,Yes,No,No,Yes,Yes,797253.0,Yes,No,No,2.0,Low,7.0,25.0,1.3,Not Applicable,18.0,9.0,Peak,2 to 5,5.6,5.6,22.2,5.6,11.1,0.0,22.2,11.1,11.1,5.6,0.0,0.0,0.0,0.0,3.0
Company93,Success,2010.0,4.0,126.0,Competitions for startups,E-Commerce|Mobile,service,Voyager Capital|VegasTechFund|Lars-Henrik Friis Molin|Amicus Group|Kolind A/S,25.0,-4.0,YES,7/7/2010,3/1/2014,1100000.0,United States,North America,0.0,4.0,3,2,8,28.0,No,0.0,medium,No,Small,Yes,Yes,No,No,Service,No,no,No,not applicable,No,Cloud,Local,Non-Linear,No,No,No,No,No,No,No,No,No,No,Yes,Offline,B2B,Low,High,Yes,Medium,Masters,21.0,Biology,No,Yes,500.0,Medium,0.0,1.0,0.0,1.0,19.0,Medium,Medium,No,No,Low,Yes,No,No,Yes,No,No,46550.0,No,Yes,No,3.0,Low,0.0,9.3,1.1,Not Applicable,45.0,45.0,Peak,2 to 5,23.1,7.7,23.1,0.0,0.0,0.0,7.7,15.4,7.7,7.7,0.0,0.0,0.0,7.7,3.0
Company95,Success,2002.0,12.0,123.0,predictive solutions,Analytics,analytics,Appian Ventures|Core Capital Partners|QED Investors,31.0,0.0,No,1/1/2002,9/7/2011,7500000.0,United States,North America,0.0,2.0,0,0,2,50.0,No,0.0,medium,No,Large,Yes,Yes,Yes,Yes,Service,Yes,Both,Yes,Structured,No,Platform,Local,Non-Linear,No,No,No,No,Yes,No,No,Yes,No,No,No,Offline,B2B,Low,High,No,Medium,Masters,21.0,Business,Yes,Yes,500.0,High,1.0,0.0,0.0,1.0,24.0,High,Medium,Yes,No,Low,No,Yes,No,No,No,No,2584435.0,Yes,Yes,No,3.0,Low,0.0,4.5,7.5,Yes,65.0,15.5,Peak,2 to 5,13.3,6.7,0.0,0.0,6.7,20.0,26.7,0.0,6.7,13.3,0.0,0.0,0.0,6.7,4.0
Company96,Success,2011.0,3.0,53.0,Big Data Analytics,Enterprise Software,marketing,500 Startups|Tech Wildcatters|Start-Up Chile,8.0,0.0,No,7/1/2011,5/1/2013,50000.0,India,Asia,3.0,0.0,2,0,3,8.0,No,0.0,medium,No,Medium,No,No,No,Yes,Product,No,no,No,Structured,No,Platform,Global,Non-Linear,Yes,No,No,No,No,No,No,No,No,No,Yes,Offline,B2B,Low,Low,Yes,Medium,Masters,21.0,business,Yes,Yes,500.0,Medium,0.0,0.0,0.0,0.0,14.0,Medium,Medium,No,No,Low,No,No,No,Yes,No,No,516830.0,Yes,Yes,Yes,2.0,Low,0.0,4.0,0.0,Not Applicable,8.0,5.0,Peak,2 to 5,12.9,0.0,25.0,4.5,2.8,25.5,12.9,7.3,4.5,0.0,0.0,4.5,0.0,0.0,3.0
Company102,Success,2012.0,2.0,2.0,Dashboard,Analytics,analytics,Philippe Debever,6.0,0.0,No,6/1/2012,6/15/2012,125000.0,Belgium,Europe,0.0,1.0,3,0,3,5.0,No,0.0,medium,No,Small,Yes,Yes,No,Yes,Product,Yes,Both,Yes,Unstructured,No,Platform,Global,Non-Linear,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Online,B2C,Low,Low,No,Medium,Bachelors,21.0,business,No,No,223.0,Low,0.0,0.0,0.0,0.0,25.0,Medium,Medium,Yes,No,Low,No,No,No,No,No,No,1983752.0,Yes,Yes,No,3.0,Medium,0.0,5.0,0.1,Not Applicable,1.0,1.0,Peak,2 to 5,2.2,2.2,17.8,2.2,0.0,4.4,0.0,2.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0
Company103,Success,2010.0,4.0,34.0,Big Data Analytics,Analytics,security,Aleph,16.0,7.0,No,1/1/2010,11/7/2013,5000000.0,Switzerland,Europe,0.0,1.0,2,0,4,50.0,No,0.0,medium,No,Small,Yes,Yes,No,No,Product,No,Both,No,Both,No,Platform,Global,Linear,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Medium,Bachelors,18.0,Computers,Yes,Yes,500.0,Medium,0.0,0.0,0.0,0.0,17.0,Medium,High,No,No,Medium,No,No,Yes,Yes,No,No,10080538.0,Yes,Yes,No,4.0,High,0.0,16.6,5.0,Not Applicable,47.0,47.0,Peak,2 to 5,7.7,3.8,13.8,0.0,7.7,3.8,3.8,10.0,7.7,41.5,0.0,0.0,0.0,0.0,0.0
Company104,Success,2009.0,5.0,26.0,Specialists in Internet TV,Analytics,service,TechStars,14.5,0.0,No,9/17/2009,9/1/2009,50000.0,United Kingdom,Europe,1.0,0.0,1,0,1,50.0,No,0.0,low,No,Medium,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,Yes,Platform,Global,Non-Linear,No,No,No,No,No,No,No,Yes,No,No,No,Offline,B2B,Low,Low,Yes,Medium,Masters,21.0,Media,Yes,Yes,500.0,High,1.0,0.0,0.0,0.0,0.0,Medium,Medium,No,No,Medium,No,No,Yes,No,No,No,797253.0,Yes,Yes,No,3.0,Medium,3.0,12.5,0.0,Not Applicable,1.0,1.0,Trough,2 to 5,5.6,16.7,5.6,22.2,0.0,11.1,22.2,0.0,5.6,11.1,0.0,0.0,0.0,0.0,1.0
Company105,Success,2009.0,5.0,265.0,SaaS Marketing Analytics,Analytics|Marketing,service,Northstar Ventures,13.0,8.0,No,11/5/2009,9/8/2012,500000.0,United Kingdom,Europe,2.0,1.0,0,1,7,10.0,No,0.0,high,No,Medium,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,Yes,Cloud,Global,Non-Linear,No,No,No,No,No,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21.0,MBA,No,No,500.0,Low,0.0,0.0,0.0,196.0,16.0,Low,Medium,No,No,Low,No,No,No,No,Yes,No,302399.0,No,No,No,2.0,Low,15.0,2.5,0.5,Not Applicable,4.0,10.2,Trough,2 to 5,15.4,0.0,38.5,7.7,0.0,15.4,15.4,0.0,0.0,7.7,0.0,0.0,0.0,0.0,5.0
Company106,Success,2012.0,2.0,2.0,Real-time discounts platform,Mobile|Advertising|Social Networking|Marketing|E-Commerce|Analytics|Enterprise Software,marketing,James Regan|Matt Hagger,14.5,0.0,No,4/20/2012,9/1/2012,50000.0,United Kingdom,Europe,3.0,0.0,1,0,2,10.0,No,0.0,Nothing,No,Small,Yes,No,No,No,Service,Yes,no,No,not applicable,Yes,Cloud,Global,Linear,No,No,No,No,No,No,No,No,Yes,No,No,Online,B2B,Low,Medium,No,Medium,Bachelors,18.0,Law,No,Yes,175.0,Low,0.0,0.0,0.0,1.0,11.0,Low,Low,No,No,Low,No,No,No,No,No,No,117309.0,Yes,No,No,3.0,Medium,5.0,10.0,0.0,Not Applicable,6.0,6.0,Peak,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Company107,Success,2008.0,6.0,98.0,Food Label Data Analysis,Network / Hosting / Infrastructure|Food & Beverages|Analytics,operation,Capital Innovators|Cultivation Capital,12.0,9.0,No,1/1/2008,4/5/2013,100000.0,United States,North America,3.0,0.0,3,2,5,20.0,No,1.0,medium,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,No,Cloud,Global,Non-Linear,No,No,No,No,No,No,No,No,No,Yes,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18.0,Nutrition and Sociology,Yes,Yes,500.0,High,0.0,0.0,0.0,5.0,48.0,High,Medium,Yes,No,Low,No,Yes,No,No,No,No,915558.0,No,Yes,No,3.0,Medium,0.0,3.0,0.1,Yes,40.0,2.6,Peak,2 to 5,6.7,5.6,16.1,12.6,7.5,9.4,7.8,9.4,6.7,15.3,0.0,2.8,0.0,0.0,3.0
Company108,Success,2011.0,3.0,338.0,Analytics for sales decisions.,Analytics|E-Commerce|Marketing,"Marketing, Sales",Eric Kwan|Google Ventures|Kenny Van Zant|Franklyn Chien|Ryan Merket|Bobby Goodlatte|Yishan Wong|Brian McClendon|Charles River Ventures|Greylock Partners|New Enterprise Associates|Y Combinator|Gabor Cselle|George Zachary|Jim Young|Alison Rosenthal|Data Collective,12.0,9.0,No,1/1/2011,12/19/2013,175000.0,United States,North America,22.0,0.0,2,0,2,10.0,Yes,2.0,low,Yes,Large,Yes,Yes,No,Yes,Service,Yes,Private,No,Both,No,Cloud,Global,Linear,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,High,Masters,21.0,Business management,Yes,Yes,500.0,High,1.0,0.0,0.0,3.0,19.0,Medium,Medium,No,No,Low,No,No,Yes,No,No,No,431282.0,Yes,No,Yes,2.0,Low,0.0,3.3,0.2,Not Applicable,6.0,6.5,Trough,2 to 5,20.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Company111,Success,2010.0,4.0,361.0,Business Dashboards,Analytics,"operations, sales, marketing",Jerry Yang|Paul Buchheit|SV Angel|Y Combinator,8.0,0.0,No,8/1/2010,11/17/2010,500000.0,United States,North America,3.0,0.0,2,1,5,10.0,No,0.0,low,No,Medium,No,No,No,No,Both,Yes,Private,Yes,Structured,No,Platform,Local,Non-Linear,No,No,No,No,Yes,No,No,No,Yes,No,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18.0,Electrical Engineering,Yes,Yes,500.0,High,0.0,0.0,0.0,0.0,13.0,Medium,Medium,Yes,No,Low,No,Yes,Yes,No,No,No,91162.0,No,Yes,No,3.0,Medium,5.0,2.0,0.5,Not Applicable,4.0,4.0,Peak,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Company114,Success,2012.0,2.0,161.0,Big Data Analytics,Retail|Mobile,Marketing & Sales,TiE Angels|Hub Angels Investment Group|Jit Saxena|Rob Soni|John Simon|Gaugarin Oliver|Prakash Khot|LaunchCapital,21.0,5.0,No,1/1/2012,11/19/2012,1100000.0,United States,North America,8.0,0.0,0,0,4,50.0,No,0.0,low,Yes,Large,No,No,No,Yes,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Online,B2B,Medium,Medium,Yes,High,Masters,21.0,Entrepreneurship & Innovation,Yes,Yes,500.0,High,0.0,0.0,1.0,2.0,25.0,Medium,Medium,Yes,No,Low,No,No,Yes,No,No,No,6864799.0,Yes,Yes,No,3.0,Medium,0.0,12.0,1.1,Not Applicable,10.0,10.0,Trigger,5 to 10,11.8,0.0,5.9,0.0,5.9,5.9,47.1,0.0,5.9,5.9,0.0,5.9,0.0,5.9,4.0
Company115,Success,2009.0,5.0,230.0,Big Data Analytics,Mobile|Marketing,Marketing & Sales,Chris DeVore|Tom Peterson|Aaron Bird|Founder's Co-op|Social Leverage|TechStars|Techstars|Howard Lindzon,8.0,0.0,No,1/1/2009,12/20/2012,650000.0,United States,North America,6.0,0.0,1,2,4,11.0,No,0.0,low,Yes,Large,No,No,No,No,Both,Yes,Public,Yes,Both,No,Platform,Global,Non-Linear,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Both,B2B,Medium,Medium,Yes,Low,Bachelors,18.0,Computer Science,Yes,Yes,500.0,Low,0.0,1.0,0.0,1.0,16.5,Medium,Medium,Yes,No,Medium,No,No,Yes,No,No,No,64262.0,Yes,Yes,Yes,3.0,Medium,0.0,2.8,0.6,Not Applicable,1.0,12.0,Trigger,5 to 10,6.2,0.0,81.2,0.0,0.0,0.0,6.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Company117,Success,2011.0,3.0,528.0,Customer Experience Platform,Analytics|Marketing,"Marketing, Technology, Finance & Accounting, Customer service",Friends and Family|Jeremie Berrebi,12.0,0.0,No,12/1/2011,11/10/2013,750000.0,United States,North America,3.0,0.0,0,4,4,5.0,No,0.0,low,No,Small,Yes,Yes,No,Yes,Product,Yes,Both,Yes,Both,Yes,Platform,Local,Non-Linear,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,Masters,21.0,"Marketing, Logistics & Distribution",Yes,Yes,500.0,High,0.0,0.0,0.0,8.0,14.5,Medium,Medium,Yes,No,Low,No,Yes,Yes,No,No,Yes,194733.0,Yes,Yes,No,4.0,High,0.0,4.0,0.8,Not Applicable,24.0,6.0,Trough,2 to 5,0.0,0.0,9.1,36.4,0.0,9.1,27.3,9.1,0.0,9.1,0.0,0.0,0.0,0.0,5.0
Company118,Success,2009.0,5.0,512.0,New Generation of NoSQL,Network / Hosting / Infrastructure,operation,SV Angel|Sutter Hill Ventures|CrunchFund,14.0,-7.0,No,1/1/2009,11/12/2013,17000000.0,United States,North America,0.0,0.0,3,0,4,50.0,No,0.0,high,No,Medium,No,No,Yes,Yes,Service,Yes,Private,No,Both,No,Platform,Local,Non-Linear,Yes,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18.0,Accounting,No,Yes,500.0,High,0.0,0.0,0.0,1.0,19.5,Medium,Medium,Yes,No,Low,Yes,No,Yes,No,No,No,263431.0,Yes,No,No,2.0,Low,0.0,4.0,17.0,Not Applicable,45.0,11.5,Trough,2 to 5,0.0,0.0,38.9,0.0,0.0,8.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Company119,Success,2005.0,9.0,78.0,Cloud computing,Enterprise Software,"Computing, training",RTP Ventures|Almaz Capital|ru-Net Holdings,32.0,7.0,No,5/1/2005,7/29/2013,10000000.0,United States,North America,0.0,0.0,2,7,5,10.0,No,3.0,medium,No,Small,Yes,No,No,Yes,Both,Yes,Private,No,Structured,No,Cloud,Global,Non-Linear,Yes,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Bachelors,18.0,Computer Science,Yes,Yes,500.0,High,0.0,0.0,0.0,0.0,35.0,High,Medium,Yes,No,Low,No,No,Yes,No,No,No,709728.0,No,No,No,3.0,Medium,0.0,4.0,10.0,Yes,70.0,10.0,Peak,5 to 10,2.8,11.1,77.8,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Company120,Success,2008.0,6.0,150.0,online real estate broker,Real Estate|Mobile|E-Commerce,marketing,Robert Stewart|Revolution LLC,22.0,0.0,No,1/30/2008,8/6/2012,3500000.0,United States,North America,1.0,0.0,2,1,8,18.0,No,0.0,high,No,Small,Yes,Yes,No,No,Product,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,No,No,No,No,No,No,Yes,No,No,No,Online,B2C,Medium,High,Yes,Medium,Bachelors,18.0,Marketing,Yes,Yes,500.0,High,0.0,0.0,0.0,0.0,17.0,High,Low,Yes,No,Low,Yes,No,Yes,No,No,No,29452.0,Yes,No,No,3.0,Medium,5.0,4.0,3.5,Yes,12.0,20.0,Trigger,2 to 5,7.7,0.0,0.0,3.8,0.0,0.0,15.4,0.0,7.7,11.5,0.0,0.0,0.0,3.8,5.0
Company121,Success,2012.0,2.0,129.0,Video Optimization,Media|Entertainment|Analytics|Network / Hosting / Infrastructure|Publishing,marketing,Nick Rau|Bob Jacobson|Jimmy Barge|Jor Law,16.0,0.0,No,7/1/2012,10/4/2013,1700000.0,United States,North America,0.0,0.0,0,0,7,15.0,No,0.0,low,No,Medium,Yes,No,No,No,Product,No,Private,Yes,Both,No,Platform,Local,Non-Linear,No,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2C,Low,Medium,Yes,Low,Bachelors,18.0,Entertainment,Yes,Yes,500.0,Low,0.0,0.0,0.0,1.0,22.0,High,Medium,Yes,No,Low,No,No,Yes,Yes,No,No,297388.0,Yes,No,No,3.0,Medium,0.0,7.5,1.7,Not Applicable,15.0,15.0,Peak,2 to 5,0.0,0.0,0.0,69.2,0.0,0.0,15.4,0.0,0.0,15.4,0.0,0.0,0.0,0.0,5.0
Company122,Success,2010.0,4.0,4.0,Big Data Analytics,E-Commerce|Email|Analytics|Marketing,"Operations, marketing",FirstMark Capital|Foundry Group|First Round Capital|O’Reilly AlphaTech Ventures|O'Reilly AlphaTech Ventures,12.0,0.0,No,1/1/2010,6/26/2012,7000000.0,United States,North America,1.0,0.0,1,0,4,50.0,No,0.0,low,No,Small,Yes,Yes,No,No,Product,No,Private,Yes,Structured,No,Platform,Local,Non-Linear,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18.0,Economics,Yes,Yes,500.0,High,0.0,0.0,0.0,0.0,23.0,Low,Medium,Yes,No,Low,No,No,Yes,No,No,No,245871.0,No,Yes,No,3.0,Medium,0.0,3.0,7.0,Not Applicable,6.0,9.2,Trigger,2 to 5,11.1,0.0,0.0,27.8,0.0,11.1,22.2,0.0,11.1,16.7,0.0,0.0,0.0,0.0,7.0
Company124,Success,2010.0,4.0,68.0,info exchange for physician interactions,Analytics|Healthcare,Research,Lux Capital|Fidelity Biosciences|Venrock|Highland Capital Partners|Gerson Lehrman Group|Jonathan Bush|Ed Park|John Goldsmith|James Golden,35.0,3.0,No,1/1/2010,1/2/2013,11000000.0,United States,North America,0.0,0.0,3,7,7,50.0,No,1.0,high,No,Medium,Yes,Yes,No,No,Product,No,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Low,High,Yes,High,PhD,25.0,Biomedical Enterprise,Yes,Yes,500.0,High,0.0,0.0,0.0,12.0,23.0,High,Medium,Yes,No,Low,Yes,Yes,Yes,No,No,No,1842172.0,Yes,Yes,No,4.0,Medium,0.0,10.0,11.0,Not Applicable,12.0,6.2,Peak,2 to 5,11.1,0.0,50.0,0.0,0.0,16.7,5.6,5.6,5.6,5.6,0.0,0.0,0.0,0.0,9.0
